id,date,time,digital_code,literal_code,number,currency_name,official_course
1,18.01.2021,00.00,978,EUR,1,Євро,34.0121
2,19.01.2021,00.00,978,EUR,1,Євро,34.0158
3,20.01.2021,00.00,978,EUR,1,Євро,34.1555
4,21.01.2021,00.00,978,EUR,1,Євро,34.1488
5,22.01.2021,00.00,978,EUR,1,Євро,34.3651
6,23.01.2021,00.00,978,EUR,1,Євро,34.3651
7,24.01.2021,00.00,978,EUR,1,Євро,34.3651
8,25.01.2021,00.00,978,EUR,1,Євро,34.2526
9,26.01.2021,00.00,978,EUR,1,Євро,34.2265
10,27.01.2021,00.00,978,EUR,1,Євро,34.1897
11,28.01.2021,00.00,978,EUR,1,Євро,34.1207
12,29.01.2021,00.00,978,EUR,1,Євро,34.1035
13,30.01.2021,00.00,978,EUR,1,Євро,34.1035
14,31.01.2021,00.00,978,EUR,1,Євро,34.1035
15,01.02.2021,00.00,978,EUR,1,Євро,34.157
16,02.02.2021,00.00,978,EUR,1,Євро,33.9039
17,03.02.2021,00.00,978,EUR,1,Євро,33.7913
18,04.02.2021,00.00,978,EUR,1,Євро,33.6374
19,05.02.2021,00.00,978,EUR,1,Євро,33.4509
20,06.02.2021,00.00,978,EUR,1,Євро,33.4509
21,07.02.2021,00.00,978,EUR,1,Євро,33.4509
22,08.02.2021,00.00,978,EUR,1,Євро,33.2823
23,09.02.2021,00.00,978,EUR,1,Євро,33.2604
24,10.02.2021,00.00,978,EUR,1,Євро,33.4406
25,11.02.2021,00.00,978,EUR,1,Євро,33.6655
26,12.02.2021,00.00,978,EUR,1,Євро,33.8111
27,13.02.2021,00.00,978,EUR,1,Євро,33.8111
28,14.02.2021,00.00,978,EUR,1,Євро,33.8111
29,15.02.2021,00.00,978,EUR,1,Євро,33.6801
30,16.02.2021,00.00,978,EUR,1,Євро,33.9297
31,17.02.2021,00.00,978,EUR,1,Євро,33.7708
32,18.02.2021,00.00,978,EUR,1,Євро,33.6422
33,19.02.2021,00.00,978,EUR,1,Євро,33.6478
34,20.02.2021,00.00,978,EUR,1,Євро,33.6478
35,21.02.2021,00.00,978,EUR,1,Євро,33.6478
36,22.02.2021,00.00,978,EUR,1,Євро,33.7768
37,23.02.2021,00.00,978,EUR,1,Євро,33.8866
38,24.02.2021,00.00,978,EUR,1,Євро,33.883
39,25.02.2021,00.00,978,EUR,1,Євро,33.9289
40,26.02.2021,00.00,978,EUR,1,Євро,34.1459
41,27.02.2021,00.00,978,EUR,1,Євро,34.1459
42,28.02.2021,00.00,978,EUR,1,Євро,34.1459
43,01.03.2021,00.00,978,EUR,1,Євро,33.8449
44,02.03.2021,00.00,978,EUR,1,Євро,33.717
45,03.03.2021,00.00,978,EUR,1,Євро,33.6006
46,04.03.2021,00.00,978,EUR,1,Євро,33.5565
47,05.03.2021,00.00,978,EUR,1,Євро,33.4062
48,06.03.2021,00.00,978,EUR,1,Євро,33.4062
49,07.03.2021,00.00,978,EUR,1,Євро,33.4062
50,08.03.2021,00.00,978,EUR,1,Євро,33.4062
51,09.03.2021,00.00,978,EUR,1,Євро,33.075
52,10.03.2021,00.00,978,EUR,1,Євро,32.9741
53,11.03.2021,00.00,978,EUR,1,Євро,32.9317
54,12.03.2021,00.00,978,EUR,1,Євро,33.1748
55,13.03.2021,00.00,978,EUR,1,Євро,33.1748
56,14.03.2021,00.00,978,EUR,1,Євро,33.1748
57,15.03.2021,00.00,978,EUR,1,Євро,33.0839
58,16.03.2021,00.00,978,EUR,1,Євро,32.9523
